"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1032","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","1.524006","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","2","1","10.807364","0","11"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","2.123037","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","5.583555","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","1.866512","0","13"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","0.898051","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","33","1","1","37.606003","0","593"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","30","1","1","41.603199","0","494"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.389117","0","2"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","4.619588","0","43"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","2.374818","0","13"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","56","1","1","105.392273","0","1640"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","28","3","1","144.423798","0","413"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","3.666766","0","2"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.436479","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","1","1","2.835309","0","26"
"/Game/Tile/Pieces/Material.Material","21","28","7","1","0.000000","0","406"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","56","4","1","120.849350","0","1614"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","210","1","1","256.745056","0","21666"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","1.128779","0","3"
